ime,priimek,starost,pozicija,stevilo_iger,povprecje_tocke,povprecje_osebne_napake,povprecje_asistence,povprecje_skoki,povprecje_trojke
Braxton,Key,25,SF,3,1.3,0.0,0.0,0.3,0.0
Louis,King,23,PF,1,20.0,4.0,2.0,4.0,4.0
Corey,Kispert,23,SF,74,11.1,1.3,1.2,2.8,2.2
Maxi,Kleber,31,PF,37,5.9,2.3,1.4,3.6,1.1
Nathan,Knight,25,C,38,3.7,1.1,0.3,1.5,0.2
Kevin,Knox,23,SF-PF,63,6.6,1.5,0.5,2.8,1.0
Christian,Koloko,22,C,58,3.1,2.2,0.5,2.9,0.0
John,Konchar,26,SF,72,5.1,1.6,1.4,4.3,0.8
Furkan,Korkmaz,25,SG,37,3.8,0.5,0.6,1.1,0.5
Luke,Kornet,27,C,69,3.8,1.2,0.8,2.9,0.0
Vit,Krejci,22,PG,29,1.2,0.6,0.6,0.9,0.2
Jonathan,Kuminga,20,PF,67,9.9,2.3,1.9,3.4,0.8
Kyle,Kuzma,27,PF,64,21.2,2.3,3.7,7.2,2.5
Anthony,Lamb,25,SF,62,6.7,2.2,1.5,3.5,1.2
Jock,Landale,27,C,69,6.6,1.8,1.0,4.1,0.3
Romeo,Langford,23,SG,43,6.9,1.6,1.2,2.7,0.4
Jake,LaRavia,21,PF,35,3.0,1.4,0.6,1.8,0.7
Zach,LaVine,27,SG,77,24.8,2.1,4.2,4.5,2.6
A.J.,Lawson,22,SG,15,3.7,0.7,0.1,1.4,0.7
Damion,Lee,30,SG,74,8.2,1.6,1.3,3.0,1.5
Saben,Lee,23,PG,25,6.0,1.3,2.7,1.8,0.4
Alex,Len,29,C,26,1.7,1.1,0.5,2.3,0.0
Kawhi,Leonard,31,SF,52,23.8,1.6,3.9,6.5,2.0
Meyers,Leonard,30,C,9,4.8,1.8,0.1,3.8,0.8
Caris,LeVert,28,SG,74,12.1,2.3,3.9,3.8,1.7
Kira,Lewis,21,PG,25,4.6,1.0,0.9,1.3,0.6
Damian,Lillard,32,PG,58,32.2,1.9,7.3,4.8,4.2
Nassir,Little,22,SF,54,6.6,1.2,0.9,2.6,1.1
Isaiah,Livers,24,PF,52,6.7,2.0,0.8,2.8,1.4
Kenneth,Lofton,20,PF,24,5.0,1.2,0.8,2.1,0.3
Kevon,Looney,26,C,82,7.0,2.7,2.5,9.3,0.0
Brook,Lopez,34,C,78,15.9,2.6,1.3,6.7,1.7
